,,,,,,,,
2023년 통학 지원 현황,,,,,,,,
,,,,,,,,
,,,,,,,,"(기준: 2023. 4. 1., 단위: 대, 명)"
구분,학교급,운영기관수,통학 지원 현황,,,,,비고
,,,통학차량 운영 현황,,,,통학비(명),
,,,직영(대),임차(대),택시(대),계,,
청주,유치원,  14 ,  1 ,  16 ,,  17 ,,
,초등학교,  37 ,  6 ,  51 ,  2 ,  59 ,  6 ,
,중학교,  3 ,,  1 ,,  1 ,  7 ,
,계,  54 ,  7 ,  68 ,  2 ,  77 ,  13 ,
충주,유치원,  9 ,,  9 ,,  9 ,,
,초등학교,  24 ,  9 ,  20 ,  7 ,  36 ,,
,중학교,  4 ,,  1 ,  3 ,  4 ,  70 ,국원고 포함
,계,  37 ,  9 ,  30 ,  10 ,  49 ,  70 ,
제천,유치원,  5 ,,  6 ,,  6 ,,
,초등학교,  10 ,  12 ,  7 ,  2 ,  21 ,,
,중학교,  2 ,,,  3 ,  3 ,  1 ,
,계,  17 ,  12 ,  13 ,  5 ,  30 ,  1 ,
보은,유치원,  2 ,,  2 ,,  2 ,,
,초등학교,  15 ,  9 ,  9 ,  7 ,  25 ,,
,중학교,,,,,  - ,,
,계,  17 ,  9 ,  11 ,  7 ,  27 ,,
옥천,유치원,  3 ,  1 ,  3 ,,  4 ,,
,초등학교,  12 ,  4 ,  9 ,  3 ,  16 ,,
,중학교,  2 ,,,  9 ,  9 ,,
,계,  17 ,  5 ,  12 ,  12 ,  29 ,,
영동,유치원,  1 ,,  3 ,,  3 ,,
,초등학교,  14 ,  12 ,  10 ,  1 ,  23 ,,
,중학교,,,,,,,
,계,  15 ,  12 ,  13 ,  1 ,  26 ,,
진천,유치원,  2 ,,  4 ,,  4 ,,
,초등학교,  14 ,  3 ,  10 ,  8 ,  21 ,,
,중학교,,,,,  - ,,
,계,  16 ,  3 ,  14 ,  8 ,  25 ,  - ,
괴산·증평,유치원,  4 ,,  4 ,,  4 ,,
,초등학교,  15 ,  15 ,  10 ,,  25 ,,
,중학교,,,,,  - ,,
,계,  19 ,  15 ,  14 ,  - ,  29 ,  - ,
음성,유치원,  4 ,  1 ,  3 ,,  4 ,,
,초등학교,  17 ,  6 ,  16 ,  4 ,  26 ,,
,중학교,  5 ,,,  15 ,  15 ,  1 ,
,계,  26 ,  7 ,  19 ,  19 ,  45 ,  1 ,
단양,유치원,  1 ,  1 ,,,  1 ,,
,초등학교,  10 ,  9 ,  2 ,  6 ,  17 ,,
,중학교,  3 ,,,  6 ,  6 ,,
,계,  14 ,  10 ,  2 ,  12 ,  24 ,  - ,
특수,특수학교,  4 ,  15 ,  3 ,,  18 ,,
,특수학급,  1 ,,  2 ,,  2 ,,충북에너지고
,계,  5 ,  15 ,  5 ,  - ,  20 ,,
합계,유,  45 ,  4 ,  50 ,  - ,  54 ,  - ,
,초,  168 ,  85 ,  144 ,  40 ,  269 ,  6 ,
,중학교,  19 ,  - ,  2 ,  36 ,  38 ,  79 ,
,특수,  4 ,  15 ,  3 ,,  18 ,,
,특수학급,  1 ,,  2 ,,  2 ,,
,계,  237 ,  104 ,  201 ,  76 ,  381 ,  85 ,
  ※  사립중학교 통학 지원 포함,,,,,,,,
  ※  사립 특수학교 별도,,,,,,,,
"      - 직영 16대(맹학교 1, 청주성신 4, 충주성심 2, 충주성모 2, 숭덕 2, 청암 2, 꽃동네 3)",,,,,,,,
"      - 임차 13대(맹학교 3, 청주성신 2, 충주성심 3, 충주성모 1, 청암 1, 꽃동네 3)",,,,,,,,